tiempo_s,voltaje_mV
0.000,0.12
0.004,0.16
0.008,0.20
0.012,0.25
0.016,0.28
0.020,0.22
0.024,0.15
0.028,0.05
0.032,-0.10
0.036,-0.20
0.040,-0.35
0.044,-0.20
0.048,0.10
0.052,0.80
0.056,1.10
0.060,1.00
0.064,0.60
0.068,0.20
0.072,0.05
0.076,0.00
0.080,0.10
0.084,0.15
0.088,0.25
0.092,0.30
0.096,0.25
0.100,0.15
0.104,0.10
0.108,0.05
0.112,0.00
0.116,-0.05
0.120,-0.08
0.124,-0.10
0.128,-0.12
0.132,-0.08
0.136,0.05
0.140,0.20
0.144,0.35
0.148,0.40
0.152,0.30
0.156,0.15
0.160,0.05
0.164,-0.10
0.168,-0.20
0.172,-0.25
0.176,-0.10
0.180,0.20
0.184,0.85
0.188,1.10
0.192,0.80
0.196,0.35
0.200,0.00
